COD_ETU;Note : TLBC3104;Résultat : TLBC3104;Session : TLBC3104;Année : TLBC3104;Note : TLBC3204;Résultat : TLBC3204;Session : TLBC3204;Année : TLBC3204;Note : TLBC3304;Résultat : TLBC3304;Session : TLBC3304;Année : TLBC3304;Note : TLBC3404;Résultat : TLBC3404;Session : TLBC3404;Année : TLBC3404;Note : TLBC3504;Résultat : TLBC3504;Session : TLBC3504;Année : TLBC3504;Note : TLBC3604;Résultat : TLBC3604;Session : TLBC3604;Année : TLBC3604;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;Note : TLBC4104;Résultat : TLBC4104;Session : TLBC4104;Année : TLBC4104;Note : TLBC4204;Résultat : TLBC4204;Session : TLBC4204;Année : TLBC4204;Note : TLBC4304;Résultat : TLBC4304;Session : TLBC4304;Année : TLBC4304;Note : TLBC4404;Résultat : TLBC4404;Session : TLBC4404;Année : TLBC4404;Note : TLBC4504;Résultat : TLBC4504;Session : TLBC4504;Année : TLBC4504;Note : TLBC4604;Résultat : TLBC4604;Session : TLBC4604;Année : TLBC4604;Note : TLBC4004;Résultat : TLBC4004;Session : TLBC4004;Année : TLBC4004
20007964;14 125;V;1;2021;14 813;V;1;2021;14 425;V;1;2021;12.25;V;1;2021;16;V;1;2021;15;V;1;2021;14 436;V;1;2021;11;V;1;2021;10.8;V;1;2021;13;V;1;2021;13;V;1;2021;10;V;2;2021;15.85;V;1;2021;12 275;V;2;2021
20008283;11 625;V;1;2021;14;V;1;2021;10.45;V;1;2021;17.5;V;1;2021;10;V;2;2021;17;V;1;2021;13 429;V;2;2021;15;V;1;2021;10;V;2;2021;12.75;V;1;2021;10;V;2;2021;10;V;2;2021;15.75;V;1;2021;12.25;V;2;2021
20008448;9.5;AC;2;2021;10.5;V;1;2021;10 775;V;1;2021;11.5;V;1;2021;8.5;AC;2;2021;10;V;1;2021;10 129;V;2;2021;15;V;1;2021;14.45;V;1;2021;12.25;V;1;2021;14.5;V;1;2021;16;V;1;2021;15;V;1;2021;14 533;V;1;2021
20008463;6;NV;2;2021;10;V;2;2021;7.95;NV;2;2021;9.25;NV;2;2021;6;NV;2;2021;13.5;V;1;2021;8 783;NV;2;2021;10;V;2;2021;3.5;NV;2;2021;6.25;NV;2;2021;8.5;NV;2;2021;8;NV;2;2021;10.85;V;1;2021;7.85;NV;2;2021
20008758;7.5;NV;2;2021;10;V;2;2021;10;V;1;2021;.5;NV;2;2021;3;NV;2;2021;9;NV;2;2021;6 667;NV;2;2021;13;V;1;2021;6.3;NV;2;2021;8 625;NV;2;2021;7;NV;2;2021;15;V;1;2021;13;V;1;2021;10 488;NV;2;2021
20008839;10;V;1;2021;10;V;2;2021;10.45;V;1;2021;14.5;V;1;2021;8;AC;2;2021;13;V;1;2021;10 992;V;2;2021;16;V;1;2021;8;AC;2;2021;15 625;V;1;2021;13.5;V;1;2021;19.5;V;1;2021;12;V;1;2021;14 104;V;2;2021
20008854;10;V;2;2021;13 938;V;1;2021;10 825;V;1;2021;16;V;1;2021;13;V;1;2021;10;V;1;2021;12 294;V;2;2021;16;V;1;2021;7 675;AC;2;2021;10;V;1;2021;11;V;1;2021;8;AC;2;2021;10.85;V;1;2021;10 588;V;2;2021
20008857;;;;;10 125;V;1;2021;;;;;5;NV;2;2021;;;;;;;;;;;1;2021;10;V;1;2021;7.73;NV;2;2021;9.7;NV;2;2021;11.5;V;1;2021;5.5;NV;2;2021;11;V;1;2021;9 238;NV;2;2021
20008860;14;V;1;2021;12.45;V;1;2021;16.3;V;1;2021;18;V;1;2021;16;V;1;2021;16.5;V;1;2021;15 542;V;1;2021;18;V;1;2021;15.15;V;1;2021;19.5;V;1;2021;16.5;V;1;2021;20;V;1;2021;17;V;1;2021;17 692;V;1;2021
20008867;10;V;2;2021;13 625;V;1;2021;13.35;V;1;2021;10;V;1;2021;4;NV;2;2021;15.5;V;1;2021;11 079;NV;2;2021;12;V;1;2021;10.1;V;1;2021;8;AC;2;2021;11;V;1;2021;15;V;1;2021;10.85;V;1;2021;11 158;V;2;2021
