COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
15005352;3.7;NRA;1;2015;3.6;NRA;1;2015;2.5;NRA;1;2015;10.9;V;1;2015;11.25;V;1;2015;10;V;2;2015;6 992;NV;2;2015;8;NV;2;2015;1.2;NRA;1;2015;.3;NRA;1;2015;10;V;2;2015;6.5;NV;2;2015;10;V;1;2015;6;NV;2;2015
15005428;5.15;NV;2;2015;7.5;NV;2;2015;6;NV;2;2015;8;NV;2;2015;11;V;1;2015;11 875;V;1;2015;8 254;NV;2;2015;11.7;V;1;2015;7;NV;2;2015;1.7;NRA;1;2015;2.5;NRA;1;2015;4 975;NRA;1;2015;12.25;V;1;2015;6 688;NV;2;2015
15005452;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;2.5;NRA;1;2015;0;NRA;1;2015;.417;NV;2;2015;10.05;V;1;2015;2.2;NRA;1;2015;1;NRA;1;2015;1.4;NRA;1;2015;3.7;NRA;1;2015;8.75;NV;2;2015;4 517;NV;2;2015
15005454;11;V;1;2015;7.2;AC;2;2015;9;AC;2;2015;13.3;V;1;2015;15;V;1;2015;10;V;2;2015;10 917;V;2;2015;15.7;V;1;2015;13.2;V;1;2015;9.1;AC;2;2015;11.7;V;1;2015;10 428;V;1;2015;13 875;V;1;2015;12 334;V;2;2015
15005465;3.75;NRA;1;2015;4.2;NRA;1;2015;4;NRA;1;2015;10.02;V;1;2015;10.5;V;1;2015;12;V;1;2015;7 412;NV;2;2015;16.3;V;1;2015;7;NV;2;2015;2.45;NRA;1;2015;9;NV;2;2015;10;V;2;2015;11.5;V;1;2015;9 375;NV;2;2015
15005517;8;AC;2;2015;8.5;AC;2;2015;10.1;V;1;2015;15;V;1;2015;15.5;V;1;2015;10 125;V;1;2015;11 204;V;2;2015;14.3;V;1;2015;10;V;2;2015;11.6;V;1;2015;19.8;V;1;2015;8.39;AC;2;2015;10;V;2;2015;12 348;V;2;2015
15005521;12.4;V;1;2015;9.8;AC;2;2015;10;V;1;2015;14.8;V;1;2015;11.25;V;1;2015;12 875;V;1;2015;11 854;V;2;2015;12.85;V;1;2015;10;V;2;2015;10.05;V;1;2015;15.6;V;1;2015;15 375;V;1;2015;12 875;V;1;2015;12 792;V;2;2015
15005534;7.25;NV;2;2015;3.5;NRA;1;2015;8.4;NV;2;2015;14.6;V;1;2015;8.5;NV;2;2015;10;V;2;2015;8 708;NV;2;2015;12.6;V;1;2015;10;V;1;2015;11;V;1;2015;13.2;V;1;2015;10 475;V;1;2015;12 625;V;1;2015;11.65;V;1;2015
15005589;3.1;NRA;1;2015;3.8;NRA;1;2015;.9;NRA;1;2015;.8;NRA;1;2015;3;NRA;1;2015;7.5;NV;2;2015;3 183;NV;2;2015;0;NRA;1;2015;.8;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.133;NV;2;2015
15005591;4.6;NRA;1;2015;3.6;NRA;1;2015;2.1;NRA;1;2015;6.5;NV;2;2015;7;NV;2;2015;7.75;NV;2;2015;5 258;NV;2;2015;5.1;NV;2;2015;1.6;NRA;1;2015;.35;NRA;1;2015;.7;NRA;1;2015;2 253;NRA;1;2015;7 125;NV;2;2015;2 855;NV;2;2015
15005592;.15;NRA;1;2015;2;NRA;1;2015;.3;NRA;1;2015;9.1;NV;2;2015;11.25;V;1;2015;8.75;NV;2;2015;5 258;NV;2;2015;12.45;V;1;2015;3.4;NRA;1;2015;.6;NRA;1;2015;2.6;NRA;1;2015;3.38;NRA;1;2015;0;NRA;1;2015;3 738;NV;2;2015
15005593;5.05;NV;2;2015;7;NV;2;2015;8.3;NV;2;2015;4;NRA;1;2015;15.25;V;1;2015;12 125;V;1;2015;8 621;NV;2;2015;13.45;V;1;2015;10;V;2;2015;8;NV;2;2015;3.4;NRA;1;2015;10;V;2;2015;13.5;V;1;2015;9 725;NV;2;2015
15005602;8;NV;2;2015;10;V;2;2015;3.9;NRA;1;2015;6.7;NV;2;2015;13.25;V;1;2015;13.25;V;1;2015;9 183;NV;2;2015;10;V;1;2015;8;NV;2;2015;2.1;NRA;1;2015;3.65;NRA;1;2015;11 325;V;1;2015;17.25;V;1;2015;8 721;NV;2;2015
15005616;4.95;NRA;1;2015;7.2;NV;2;2015;3.7;NRA;1;2015;7.4;NV;2;2015;11.5;V;1;2015;10;V;1;2015;7 458;NV;2;2015;12.1;V;1;2015;5.4;NV;2;2015;5.5;NV;2;2015;3;NRA;1;2015;5 408;NV;2;2015;11.75;V;1;2015;7 193;NV;2;2015
15005620;10.1;V;1;2015;8.5;AC;2;2015;8 252;AC;2;2015;11.9;V;1;2015;11;V;1;2015;10.25;V;1;2015;10;V;2;2015;12;V;1;2015;9.3;AC;2;2015;10;V;2;2015;9.7;AC;2;2015;9;AC;2;2015;10;V;2;2015;10;V;2;2015
