COD_ETU;Note : TLGE3104;Résultat : TLGE3104;Session : TLGE3104;Année : TLGE3104;Note : TLGE3204;Résultat : TLGE3204;Session : TLGE3204;Année : TLGE3204;Note : TLGE3304;Résultat : TLGE3304;Session : TLGE3304;Année : TLGE3304;Note : TLGE3404;Résultat : TLGE3404;Session : TLGE3404;Année : TLGE3404;Note : TLGE3504;Résultat : TLGE3504;Session : TLGE3504;Année : TLGE3504;Note : TLGE3604;Résultat : TLGE3604;Session : TLGE3604;Année : TLGE3604;Note : TLGE3004;Résultat : TLGE3004;Session : TLGE3004;Année : TLGE3004;Note : TLGE4104;Résultat : TLGE4104;Session : TLGE4104;Année : TLGE4104;Note : TLGE4204;Résultat : TLGE4204;Session : TLGE4204;Année : TLGE4204;Note : TLGE4304;Résultat : TLGE4304;Session : TLGE4304;Année : TLGE4304;Note : TLGE4404;Résultat : TLGE4404;Session : TLGE4404;Année : TLGE4404;Note : TLGE4504;Résultat : TLGE4504;Session : TLGE4504;Année : TLGE4504;Note : TLGE4604;Résultat : TLGE4604;Session : TLGE4604;Année : TLGE4604;Note : TLGE4004;Résultat : TLGE4004;Session : TLGE4004;Année : TLGE4004
18004748;.25;NV;2;2021;2.8;NV;2;2021;12;V;1;2020;14.4;V;1;2020;10;V;2;2020;11.5;V;1;2019;8 492;NV;2;2021;10;V;2;2020;0;NRA;1;2021;10;V;1;2020;0;NRA;1;2021;14;V;1;2019;0;NRA;1;2021;5 667;NV;2;2021
18004766;10;V;1;2020;10;V;2;2021;8.5;NV;2;2021;12;V;1;2020;0;NRA;1;2021;10;V;1;2021;8 417;NV;2;2021;;;;;0;;1;2021;0;NRA;1;2021;;;1;2021;;;1;2021;0;NRA;1;2021;;;;
18004771;0;NRA;1;2021;;;;;18;V;1;2021;18;V;1;2021;8.5;NV;2;2021;11.5;V;1;2021;;;1;2021;;;;;;;;;;;;;;;;;2.5;NV;2;2021;;;;;;;1;2021
18005106;;;;;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;;;1;2021
18005112;3;NV;2;2021;10;V;2;2021;10;V;2;2020;7.5;NV;2;2021;10;V;2;2020;11;V;1;2019;8 583;NV;2;2021;4 563;NV;2;2021;4;NV;2;2021;10;V;2;2019;10;V;2;2020;14;V;1;2019;2;NV;2;2021;7 427;NV;2;2021
18005170;9;AC;2;2021;9.1;AC;2;2021;8.25;AC;2;2021;7.7;AC;2;2021;10;V;2;2021;10;V;1;2019;9 008;AC;2;2021;11 475;V;1;2020;8;AC;2;2020;10;V;1;2020;17;V;1;2020;13;V;1;2019;10;V;2;2020;11 579;V;2;2020
18005187;10;V;2;2019;10;V;2;2021;2;NV;2;2021;15.55;V;1;2020;12.5;V;1;2020;13;V;1;2019;10 508;NV;2;2021;10 475;V;1;2020;7.2;AC;2;2020;11;V;1;2020;15.5;V;1;2020;10;V;1;2019;8;AC;2;2020;10 363;V;2;2020
18005192;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;12;V;1;2020;;;1;2021;0;NRA;1;2021;;;;;14.5;V;1;2019;0;NRA;1;2021;10;V;1;2019;0;NRA;1;2021;;;1;2021
18005226;;;;;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
18005237;;;;;;;;;.25;NV;2;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
